Time,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6
2299260.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299264.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299268.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299272.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299276.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299280.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299284.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299288.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299292.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299296.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299300.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299304.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299308.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299312.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299316.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299320.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299324.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299328.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299332.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299336.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299340.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299344.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299348.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299352.0,-5.536809921264648,-1.7338917255401611,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299356.0,-5.53680944442749,-1.7338902950286865,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
2299360.0,-5.536806106567383,-1.7338858842849731,10.594188690185547,33.07684326171875,75.97412109375,-84.57347869873047
2299364.0,-5.536799430847168,-1.7338756322860718,10.594192504882812,33.07684326171875,75.97412109375,-84.57347869873047
2299368.0,-5.5367841720581055,-1.7338553667068481,10.594200134277344,33.076839447021484,75.97411346435547,-84.57347869873047
2299372.0,-5.536755084991455,-1.7338194847106934,10.594216346740723,33.07683563232422,75.97410583496094,-84.57347869873047
2299376.0,-5.536704063415527,-1.733760952949524,10.594246864318848,33.07682418823242,75.97409057617188,-84.57347869873047
2299380.0,-5.536623477935791,-1.7336719036102295,10.594306945800781,33.07680130004883,75.97406768798828,-84.573486328125
2299384.0,-5.536503314971924,-1.7335447072982788,10.594414710998535,33.07676315307617,75.97401428222656,-84.57349395751953
2299388.0,-5.536333084106445,-1.7333712577819824,10.594593048095703,33.07668685913086,75.97391510009766,-84.57351684570312
2299392.0,-5.5361008644104,-1.7331444025039673,10.594877243041992,33.076568603515625,75.97373962402344,-84.57353973388672
2299396.0,-5.535792827606201,-1.7328569889068604,10.595307350158691,33.076377868652344,75.97346496582031,-84.5735855102539
2299400.0,-5.535393238067627,-1.7325023412704468,10.59593391418457,33.07608413696289,75.9730224609375,-84.57364654541016
2299404.0,-5.534884929656982,-1.73207426071167,10.59681510925293,33.075660705566406,75.97238159179688,-84.57374572753906
2299408.0,-5.534246921539307,-1.7315654754638672,10.598011016845703,33.07506561279297,75.97147369384766,-84.57389068603516
2299412.0,-5.533459186553955,-1.7309694290161133,10.599589347839355,33.07426071166992,75.97021484375,-84.57408142089844
2299416.0,-5.532501220703125,-1.730278730392456,10.601615905761719,33.07320022583008,75.96855926513672,-84.57433319091797
2299420.0,-5.531352519989014,-1.7294864654541016,10.604150772094727,33.07185745239258,75.96644592285156,-84.57466125488281
2299424.0,-5.529994964599609,-1.728585958480835,10.607254028320312,33.0701904296875,75.96379852294922,-84.57505798339844
2299428.0,-5.528412342071533,-1.7275710105895996,10.610977172851562,33.06816482543945,75.96058654785156,-84.57555389404297
2299432.0,-5.526590824127197,-1.7264351844787598,10.615361213684082,33.06576919555664,75.9567642211914,-84.57614135742188
2299436.0,-5.5245184898376465,-1.7251722812652588,10.620441436767578,33.0629768371582,75.95230865478516,-84.57682800292969
2299440.0,-5.522184371948242,-1.7237753868103027,10.62624454498291,33.05977249145508,75.94718170166016,-84.5776138305664
2299444.0,-5.5195817947387695,-1.7222381830215454,10.632784843444824,33.056156158447266,75.94139862060547,-84.57850646972656
2299448.0,-5.516702651977539,-1.720554232597351,10.64007568359375,33.052120208740234,75.9349365234375,-84.5794906616211
