Time,X_Position,Y_Position,Z_Position,Q1_Orientation,Q2_Orientation,Q3_Orientation,Q4_Orientation
791720.0,450.0000305175781,2.4183973437175155e-06,750.0000610351562,0.22798915207386017,-0.5658143758773804,0.7746915817260742,0.16651730239391327
791724.0,450.0000305175781,2.4183973437175155e-06,750.0000610351562,0.22798915207386017,-0.5658143758773804,0.7746915817260742,0.16651730239391327
791728.0,450.0000305175781,2.4183973437175155e-06,750.0000610351562,0.22798915207386017,-0.5658143758773804,0.7746915817260742,0.16651730239391327
791732.0,450.0000305175781,2.4183973437175155e-06,750.0000610351562,0.22798915207386017,-0.5658143758773804,0.7746915817260742,0.16651730239391327
791736.0,450.0000305175781,2.4183973437175155e-06,750.0000610351562,0.22798915207386017,-0.5658143758773804,0.7746915817260742,0.16651730239391327
791740.0,450.0000305175781,2.4183973437175155e-06,750.0000610351562,0.22798915207386017,-0.5658143758773804,0.7746915817260742,0.16651730239391327
791744.0,450.0000305175781,2.4183973437175155e-06,750.0000610351562,0.22798915207386017,-0.5658143758773804,0.7746915817260742,0.16651730239391327
791748.0,450.0000305175781,2.4183973437175155e-06,750.0000610351562,0.22798915207386017,-0.5658143758773804,0.7746915817260742,0.16651730239391327
791752.0,450.0000305175781,2.4183973437175155e-06,750.0000610351562,0.22798915207386017,-0.5658143758773804,0.7746915817260742,0.16651730239391327
791756.0,450.0000305175781,2.4183973437175155e-06,750.0000610351562,0.22798915207386017,-0.5658143758773804,0.7746915817260742,0.16651730239391327
791760.0,450.0000305175781,2.4183973437175155e-06,750.0000610351562,0.22798915207386017,-0.5658143758773804,0.7746915817260742,0.16651730239391327
791764.0,450.0000305175781,2.4183973437175155e-06,750.0000610351562,0.22798915207386017,-0.5658143758773804,0.7746915817260742,0.16651730239391327
791768.0,450.0000915527344,7.638565875822678e-05,749.9998779296875,0.22798898816108704,-0.5658144354820251,0.7746915817260742,0.16651740670204163
791772.0,450.00048828125,0.000569487689062953,749.9988403320312,0.2279881089925766,-0.5658146739006042,0.7746915221214294,0.16651807725429535
791776.0,450.00189208984375,0.0023041358217597008,749.9949951171875,0.22798478603363037,-0.5658156871795654,0.7746912240982056,0.16652043163776398
791780.0,450.0053405761719,0.006716310977935791,749.984619140625,0.22797603905200958,-0.565818190574646,0.7746908068656921,0.1665259748697281
791784.0,450.0120849609375,0.015559758991003036,749.9623413085938,0.22795796394348145,-0.5658233165740967,0.7746902108192444,0.16653594374656677
791788.0,450.02264404296875,0.030170608311891556,749.9222412109375,0.22792676091194153,-0.56583172082901,0.7746902704238892,0.16654977202415466
791792.0,450.0366516113281,0.051130324602127075,749.8584594726562,0.2278795838356018,-0.5658437609672546,0.774692177772522,0.16656449437141418
791796.0,450.05316162109375,0.07851588726043701,749.7655029296875,0.2278141975402832,-0.5658595561981201,0.774697482585907,0.166575625538826
791800.0,450.07098388671875,0.11214561760425568,749.6383056640625,0.22772876918315887,-0.5658789873123169,0.7747078537940979,0.16657817363739014
791804.0,450.0885925292969,0.15127341449260712,749.4738159179688,0.22762301564216614,-0.5659016370773315,0.7747247815132141,0.1665671020746231
791808.0,450.10443115234375,0.1947217583656311,749.2717895507812,0.22749799489974976,-0.5659269094467163,0.774749219417572,0.16653837263584137
791812.0,450.1183166503906,0.2421920895576477,749.0333251953125,0.22735454142093658,-0.5659546852111816,0.7747811079025269,0.1664915829896927
791816.0,450.13140869140625,0.2946126461029053,748.7593994140625,0.22719205915927887,-0.5659855008125305,0.7748193740844727,0.16643062233924866
791820.0,450.1457214355469,0.35320258140563965,748.4524536132812,0.22701022028923035,-0.5660201907157898,0.7748621106147766,0.16636158525943756
791824.0,450.1623840332031,0.41819533705711365,748.1176147460938,0.22681061923503876,-0.5660587549209595,0.7749078273773193,0.16628965735435486
791828.0,450.1819763183594,0.4891403913497925,747.7610473632812,0.22659623622894287,-0.5661010146141052,0.7749549746513367,0.1662185937166214
791832.0,450.2048034667969,0.5654575824737549,747.388427734375,0.2263697236776352,-0.5661464929580688,0.7750023603439331,0.16615131497383118
791836.0,450.23052978515625,0.6461489796638489,747.0045776367188,0.22613415122032166,-0.5661947131156921,0.7750493288040161,0.16608871519565582
791840.0,450.2581481933594,0.7295953631401062,746.6143798828125,0.2258930802345276,-0.5662447810173035,0.7750957012176514,0.1660296767950058
791844.0,450.286376953125,0.8141830563545227,746.2216796875,0.22564972937107086,-0.5662955641746521,0.7751417756080627,0.16597217321395874
791848.0,450.31451416015625,0.8990503549575806,745.8284301757812,0.22540582716464996,-0.5663467049598694,0.775187611579895,0.16591501235961914
791852.0,450.34246826171875,0.9839476346969604,745.4351806640625,0.2251618504524231,-0.566398024559021,0.775233268737793,0.16585773229599
791856.0,450.3702087402344,1.0688769817352295,745.0418701171875,0.2249177247285843,-0.5664494037628174,0.7752788066864014,0.16580049693584442
791860.0,450.3977966308594,1.1538137197494507,744.6484985351562,0.22467362880706787,-0.5665009617805481,0.7753242254257202,0.16574308276176453
791864.0,450.4252014160156,1.2387686967849731,744.2551879882812,0.22442945837974548,-0.5665525794029236,0.7753694653511047,0.1656857132911682
791868.0,450.4525451660156,1.3237046003341675,743.8618774414062,0.2241852730512619,-0.5666041970252991,0.7754147052764893,0.16562823951244354
791872.0,450.4797668457031,1.4086304903030396,743.4685668945312,0.2239411324262619,-0.5666557550430298,0.7754598259925842,0.16557073593139648
791876.0,450.5069274902344,1.4935235977172852,743.0753173828125,0.22369694709777832,-0.5667073726654053,0.7755048871040344,0.16551320254802704
