Time,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6
12869006.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
12869010.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
12869014.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
12869018.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
12869022.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
12869026.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
12869030.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
12869034.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
12869038.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
12869042.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
12869046.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
12869050.0,-5.536809921264648,-1.7338919639587402,10.59418773651123,33.07684326171875,75.97412109375,-84.57347869873047
12869054.0,-5.536799430847168,-1.733879804611206,10.594195365905762,33.076839447021484,75.97412109375,-84.57347869873047
12869058.0,-5.536728858947754,-1.733801245689392,10.59424877166748,33.07682800292969,75.9740982055664,-84.57347869873047
12869062.0,-5.536479949951172,-1.7335282564163208,10.594456672668457,33.07676696777344,75.97402954101562,-84.57349395751953
12869066.0,-5.535837650299072,-1.7328417301177979,10.595064163208008,33.07655334472656,75.97377014160156,-84.57352447509766
12869070.0,-5.534529685974121,-1.7314934730529785,10.596479415893555,33.07600784301758,75.9730453491211,-84.57364654541016
12869074.0,-5.532320976257324,-1.7293344736099243,10.59926986694336,33.0748176574707,75.97135162353516,-84.57390594482422
12869078.0,-5.529062271118164,-1.7263723611831665,10.60412883758545,33.07255935668945,75.9679946899414,-84.57442474365234
12869082.0,-5.524663925170898,-1.7227230072021484,10.611821174621582,33.068748474121094,75.962158203125,-84.57532501220703
12869086.0,-5.519068717956543,-1.7185436487197876,10.62309741973877,33.06288528442383,75.95299530029297,-84.57672882080078
12869090.0,-5.5123162269592285,-1.714063286781311,10.63852310180664,33.0545768737793,75.93982696533203,-84.57875061035156
12869094.0,-5.5045318603515625,-1.709533929824829,10.658347129821777,33.043609619140625,75.92227172851562,-84.5814437866211
12869098.0,-5.495763778686523,-1.705008625984192,10.68250846862793,33.030006408691406,75.90036010742188,-84.58480834960938
12869102.0,-5.485922336578369,-1.7002636194229126,10.710670471191406,33.014015197753906,75.87452697753906,-84.5887680053711
12869106.0,-5.474912166595459,-1.694987177848816,10.74225902557373,32.996070861816406,75.84552764892578,-84.59322357177734
12869110.0,-5.462783336639404,-1.6890040636062622,10.776516914367676,32.976661682128906,75.814208984375,-84.59803771972656
12869114.0,-5.449678897857666,-1.6822686195373535,10.812661170959473,32.95628356933594,75.78136444091797,-84.60307312011719
12869118.0,-5.435745716094971,-1.6747733354568481,10.850029945373535,32.93533706665039,75.74769592285156,-84.60823822021484
12869122.0,-5.421168804168701,-1.6666122674942017,10.888120651245117,32.91410827636719,75.71363067626953,-84.61346435546875
12869126.0,-5.4061994552612305,-1.6580108404159546,10.926567077636719,32.89276885986328,75.67943572998047,-84.61872100830078
12869130.0,-5.3910698890686035,-1.6492170095443726,10.965137481689453,32.87138748168945,75.64521026611328,-84.62397003173828
12869134.0,-5.375905990600586,-1.6403729915618896,11.003727912902832,32.85000991821289,75.61097717285156,-84.62921142578125
12869138.0,-5.360740661621094,-1.6315101385116577,11.042309761047363,32.82863235473633,75.57672882080078,-84.63446044921875
12869142.0,-5.345574378967285,-1.6226272583007812,11.080878257751465,32.80725860595703,75.54248809814453,-84.63968658447266
12869146.0,-5.330408573150635,-1.6137213706970215,11.119428634643555,32.785884857177734,75.50822448730469,-84.64490509033203
12869150.0,-5.315244197845459,-1.6047896146774292,11.157957077026367,32.764522552490234,75.4739761352539,-84.65011596679688
12869154.0,-5.300084114074707,-1.5958281755447388,11.196456909179688,32.743167877197266,75.43970489501953,-84.6552963256836
12869158.0,-5.284928321838379,-1.5868332386016846,11.2349271774292,32.72182846069336,75.40542602539062,-84.66045379638672
12869162.0,-5.269777774810791,-1.5778021812438965,11.273362159729004,32.70049285888672,75.37114715576172,-84.66559600830078
12869166.0,-5.254632472991943,-1.5687326192855835,11.311762809753418,32.67917251586914,75.33686065673828,-84.67071533203125
12869170.0,-5.2394914627075195,-1.5596216917037964,11.350127220153809,32.65786361694336,75.30255889892578,-84.67581176757812
12869174.0,-5.224355220794678,-1.550467848777771,11.388452529907227,32.636566162109375,75.26824951171875,-84.6808853149414
12869178.0,-5.209223747253418,-1.5412706136703491,11.426739692687988,32.61528015136719,75.23393249511719,-84.68592071533203
12869182.0,-5.194096565246582,-1.5320295095443726,11.464990615844727,32.59400939941406,75.19961547851562,-84.6909408569336
12869186.0,-5.178974151611328,-1.5227446556091309,11.503202438354492,32.57274627685547,75.16526794433594,-84.69593811035156
12869190.0,-5.16385555267334,-1.513416051864624,11.541377067565918,32.55149841308594,75.13092803955078,-84.7009048461914
