Time,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_External
2852091.0,-122.34184265136719,-123.53107452392578,15.111793518066406,124.26529693603516,78.83048248291016,-16.48853302001953,43.7872200012207
2852095.0,-122.43624114990234,-123.53473663330078,15.057207107543945,124.35284423828125,78.77129364013672,-16.52629852294922,43.82331466674805
2852099.0,-122.53079223632812,-123.53829193115234,15.00214672088623,124.4403076171875,78.71204376220703,-16.563928604125977,43.859188079833984
2852103.0,-122.62551879882812,-123.54171752929688,14.946614265441895,124.52767181396484,78.65274047851562,-16.601421356201172,43.89484405517578
2852107.0,-122.72039794921875,-123.5450210571289,14.890607833862305,124.61491394042969,78.5933837890625,-16.638778686523438,43.93028259277344
2852111.0,-122.81546020507812,-123.5482177734375,14.834131240844727,124.70207214355469,78.53395080566406,-16.67599868774414,43.96549606323242
2852115.0,-122.91067504882812,-123.5512924194336,14.777179718017578,124.78910064697266,78.47447204589844,-16.71308135986328,44.00048828125
2852119.0,-123.00609588623047,-123.55426025390625,14.719754219055176,124.87605285644531,78.41492462158203,-16.750028610229492,44.0352668762207
2852123.0,-123.10167694091797,-123.55708312988281,14.661856651306152,124.96287536621094,78.35531616210938,-16.786836624145508,44.069820404052734
2852127.0,-123.1974105834961,-123.5597915649414,14.603486061096191,125.04959106445312,78.29564666748047,-16.82350730895996,44.104148864746094
2852131.0,-123.29330444335938,-123.56238555908203,14.54464340209961,125.13621520996094,78.23591613769531,-16.860042572021484,44.13825988769531
2852135.0,-123.38936614990234,-123.56487274169922,14.485326766967773,125.22270965576172,78.1761245727539,-16.896438598632812,44.17214584350586
2852139.0,-123.48558807373047,-123.56722259521484,14.425539016723633,125.30909729003906,78.11627197265625,-16.932697296142578,44.205814361572266
2852143.0,-123.58198547363281,-123.5694580078125,14.365278244018555,125.39537811279297,78.05635070800781,-16.96881866455078,44.239253997802734
2852147.0,-123.67854309082031,-123.57156372070312,14.304543495178223,125.48155975341797,77.9963607788086,-17.00480079650879,44.2724723815918
2852151.0,-123.7752685546875,-123.57356262207031,14.243334770202637,125.5676040649414,77.93631744384766,-17.040645599365234,44.30546569824219
2852155.0,-123.87214660644531,-123.57544708251953,14.181654930114746,125.65355682373047,77.87619018554688,-17.076351165771484,44.33823776245117
2852159.0,-123.9692153930664,-123.57720947265625,14.119501113891602,125.73938751220703,77.81600952148438,-17.111919403076172,44.370784759521484
2852163.0,-124.06643676757812,-123.5788345336914,14.05687427520752,125.82508850097656,77.75575256347656,-17.147348403930664,44.40310287475586
2852167.0,-124.16382598876953,-123.5803451538086,13.993773460388184,125.91069030761719,77.6954345703125,-17.18263816833496,44.43519973754883
2852171.0,-124.26139068603516,-123.58174133300781,13.93019962310791,125.99616241455078,77.63504028320312,-17.217790603637695,44.46706771850586
2852175.0,-124.35910034179688,-123.58301544189453,13.866151809692383,126.08151245117188,77.5745849609375,-17.2528018951416,44.49871063232422
2852179.0,-124.45700073242188,-123.58396911621094,13.801342010498047,126.16681671142578,77.51399230957031,-17.287677764892578,44.529022216796875
2852183.0,-124.55232238769531,-123.58436584472656,13.73607349395752,126.25202178955078,77.45333862304688,-17.322357177734375,44.55610275268555
2852187.0,-124.64454650878906,-123.5843505859375,13.670939445495605,126.33656311035156,77.39299774169922,-17.356651306152344,44.58056640625
2852191.0,-124.73440551757812,-123.58402252197266,13.606429100036621,126.4195785522461,77.33361053466797,-17.390209197998047,44.603031158447266
2852195.0,-124.81963348388672,-123.58332824707031,13.543584823608398,126.49991607666016,77.27599334716797,-17.42258071899414,44.62260818481445
2852199.0,-124.89895629882812,-123.58243560791016,13.483734130859375,126.57617950439453,77.22119903564453,-17.453216552734375,44.639854431152344
2852203.0,-124.97239685058594,-123.58163452148438,13.428157806396484,126.64672088623047,77.17041778564453,-17.481510162353516,44.65609359741211
2852207.0,-125.0393295288086,-123.5810317993164,13.37803840637207,126.71005249023438,77.12474822998047,-17.50689125061035,44.67173385620117
2852211.0,-125.09858703613281,-123.58063507080078,13.33434009552002,126.7649917602539,77.08506774902344,-17.52889633178711,44.6864013671875
2852215.0,-125.15194702148438,-123.58061218261719,13.297353744506836,126.81080627441406,77.05193328857422,-17.547260284423828,44.70119094848633
2852219.0,-125.1981201171875,-123.58108520507812,13.267651557922363,126.8473892211914,77.02545928955078,-17.56197166442871,44.716732025146484
2852223.0,-125.23591613769531,-123.58191680908203,13.244972229003906,126.87531280517578,77.0052261352539,-17.573253631591797,44.731807708740234
2852227.0,-125.26713562011719,-123.5829849243164,13.228263854980469,126.89554595947266,76.99054718017578,-17.58148765563965,44.74613952636719
2852231.0,-125.29238891601562,-123.58429718017578,13.216750144958496,126.90938568115234,76.98050689697266,-17.587186813354492,44.76015853881836
2852235.0,-125.31144714355469,-123.58570098876953,13.209406852722168,126.91831970214844,76.97402954101562,-17.590940475463867,44.77294158935547
2852239.0,-125.32483673095703,-123.5869369506836,13.20496654510498,126.9238510131836,76.97000122070312,-17.593311309814453,44.78327178955078
2852243.0,-125.33372497558594,-123.58787536621094,13.202374458312988,126.92716979980469,76.96758270263672,-17.59476089477539,44.79084396362305
2852247.0,-125.33938598632812,-123.58854675292969,13.200895309448242,126.92912292480469,76.9661636352539,-17.595623016357422,44.79600524902344
2852251.0,-125.34284973144531,-123.58898162841797,13.200064659118652,126.93024444580078,76.9653549194336,-17.59612464904785,44.79933547973633
2852255.0,-125.34494018554688,-123.5892562866211,13.199604034423828,126.9308853149414,76.96488952636719,-17.59641456604004,44.8014030456543
